summary,iso_code,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,429435,402910,429435,411804,410159,408929,411804,410608,409378,411804,410159,408929,411804,410608,409378,184817,39116,39116,40656,40656,10993,10993,24497,24497,79387,75403,79387,75403,103965,103965,95927,94348,106788,85417,81132,78061,53600,70971,195029,85417,81132,78061,53600,195029,192177,192177,196190,360492,334663,323270,331315,328292,211996,328865,345911,247165,243817,161741,290689,390299,319127,429435,13411,13411,13411,13411
mean,,,,7365292.354484173,8017.359933586731,8041.025764105755,81259.57427805461,71.8521387795659,72.06082842751707,112096.1994198485,122.35707291562545,122.7138522335148,835.5143373303902,0.7623211189260808,0.7645298965747961,0.9114953710968143,660.9714183454341,15.656337048777997,3911.7415633608816,125.98798430735908,317.8941144364596,9.672003092877278,4291.723313058742,82.61909335837038,2.110457393801252E7,67285.41211888121,924.254752037487,3.272460644801928,142178.3636993219,2.8263640648295048,0.09807895587268832,2403.632807266721,,5.616979834254072E8,2.4870641074005324E8,2.2866391007339132E8,1.5058105890156716E8,739864.0267433177,283875.815135185,124.27955758221493,53.501408815264256,48.6801821652299,36.301488619403024,1851.477595639623,106070.69886614944,0.07467839543753257,42.87756032417617,394.07293207615356,30.45629573630714,8.683893123394984,5.486494061542325,18904.182971564474,13.924729240174852,264.6395336992269,8.556055112441019,10.772437926080856,33.09775758048215,50.64939038338714,3.1068948257416813,73.70209836560981,0.7221778163551594,1.5203364039627418E8,56047.6535508165,9.766431287748869,10.925353068376708,1772.6664044441127
stddev,,,,4.477581676671945E7,229664.8667305906,86616.11129828056,441190.1382369407,1368.3229897006693,513.6365647780622,162240.41240534597,1508.7785850172338,559.701662515793,1134.932641297525,6.982532150229832,2.546542596712998,0.3999249955670583,2139.615531653168,22.785484573679316,9845.7504847415,151.155809688433,514.4129100144713,13.573936412008097,10919.623681068944,88.39674021718214,8.409869431109464E7,247734.00456983916,2195.4284900423627,9.03382566842094,1138214.6555840874,7.3082247509257305,0.11609736423215998,33443.66067673282,,1.842160151901692E9,8.006460511265789E8,7.403763390430298E8,4.360696552695471E8,3183064.383305832,1922351.903822934,85.09804177253136,29.379655253560482,29.042282376022538,30.21820775829026,3117.828731152041,786688.3872564281,0.17636448952844397,24.870492159098102,1785.4512808560253,9.09355409791651,6.093036775012958,4.13625957732079,19829.577836173226,20.073912014583218,120.75669846048423,4.934656332730485,10.76109059962462,13.853951593722662,31.905236293065705,2.5491677982799943,7.387914446279098,0.14923699342545055,6.975407716680999E8,156869.07563292095,12.040658432826895,24.560705929687675,1991.8927704585396
min,ABW,Africa,Afghanistan,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,people tested,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,15.1,1.14,0.53,661.24,0.1,79.37,0.99,0.1,7.7,1.19,0.1,53.28,0.39,47,-37726.1,-44.23,-95.92,-2936.45
max,ZWE,South America,Zimbabwe,775866783,44236227,6319461.0,7057132,103719,14817.0,763598.6,241758.23,34536.89,6601.11,893.66,127.66,5.87,28891,180.68,154497,1526.85,4838,224.98,153977,717.08,9214000000,35855632,32925.83,531.06,1.4769984E7,147.6,1.0,1023631.9,units unclear,13578774356,5631263739,5177942957,2817381093,49673198,4.3691814E7,410.23,129.07,126.89,150.47,117113.0,2.1071266E7,11.71,100.0,20546.77,48.2,27.05,18.49,116935.6,77.6,724.42,30.53,44.0,78.1,100.0,13.8,86.75,0.96,7975105024,1349776.4,78.08,378.22,10293.52
